Date,Market Cap,Volume,Open,Close
9/29/2024,"$1,303,217,687,718 ","$15,342,911,003 ","$65,934 ","$65,664 "
9/28/2024,"$1,299,708,226,182 ","$32,664,917,504 ","$65,791 ","$65,934 "
9/27/2024,"$1,287,151,352,433 ","$37,995,568,904 ","$65,131 ","$65,791 "
9/26/2024,"$1,245,721,254,991 ","$26,087,643,766 ","$63,152 ","$65,131 "
9/25/2024,"$1,271,183,646,357 ","$31,490,984,594 ","$64,334 ","$63,152 "
9/24/2024,"$1,251,095,079,247 ","$23,998,847,799 ","$63,327 ","$64,334 "
9/23/2024,"$1,255,899,286,380 ","$20,349,365,413 ","$63,583 ","$63,327 "
9/22/2024,"$1,254,104,417,392 ","$12,938,083,116 ","$63,403 ","$63,583 "
9/21/2024,"$1,246,475,981,189 ","$35,587,830,477 ","$63,128 ","$63,403 "
9/20/2024,"$1,243,871,590,271 ","$41,959,080,716 ","$62,967 ","$63,128 "
9/19/2024,"$1,211,837,853,549 ","$40,445,339,415 ","$61,440 ","$62,967 "
9/18/2024,"$1,191,818,552,364 ","$34,191,170,118 ","$60,317 ","$61,440 "
9/17/2024,"$1,150,499,194,410 ","$32,196,570,894 ","$58,211 ","$60,317 "
9/16/2024,"$1,169,677,517,083 ","$17,289,597,543 ","$59,215 ","$58,211 "
9/15/2024,"$1,185,255,944,125 ","$15,800,120,841 ","$60,003 ","$59,215 "
9/14/2024,"$1,197,832,322,916 ","$31,919,740,724 ","$60,621 ","$60,003 "
9/13/2024,"$1,148,469,900,814 ","$34,177,859,933 ","$58,107 ","$60,621 "
9/12/2024,"$1,134,292,554,479 ","$37,765,652,735 ","$57,382 ","$58,107 "
9/11/2024,"$1,137,928,777,839 ","$29,676,093,302 ","$57,624 ","$57,382 "
9/10/2024,"$1,126,840,069,632 ","$35,655,419,448 ","$57,049 ","$57,624 "
9/9/2024,"$1,085,390,277,574 ","$18,644,823,662 ","$54,792 ","$57,049 "
9/8/2024,"$1,068,954,727,890 ","$17,048,448,412 ","$54,151 ","$54,792 "
9/7/2024,"$1,065,462,041,081 ","$50,260,816,557 ","$53,923 ","$54,151 "
9/6/2024,"$1,109,212,553,022 ","$30,005,773,446 ","$56,132 ","$53,923 "
9/5/2024,"$1,144,983,177,152 ","$37,550,380,697 ","$57,988 ","$56,132 "
9/4/2024,"$1,137,361,604,371 ","$26,829,983,370 ","$57,505 ","$57,988 "
9/3/2024,"$1,168,410,293,916 ","$28,012,782,291 ","$59,109 ","$57,505 "
9/2/2024,"$1,133,133,027,661 ","$25,465,621,878 ","$57,358 ","$59,109 "
9/1/2024,"$1,164,278,309,271 ","$11,399,086,336 ","$58,960 ","$57,358 "
8/31/2024,"$1,168,247,205,701 ","$44,038,496,615 ","$59,156 ","$58,960 "
8/30/2024,"$1,171,762,256,044 ","$32,563,333,957 ","$59,352 ","$59,156 "
8/29/2024,"$1,166,032,395,736 ","$42,018,989,572 ","$59,015 ","$59,352 "
8/28/2024,"$1,176,762,244,308 ","$38,131,727,428 ","$59,527 ","$59,015 "
8/27/2024,"$1,242,487,823,611 ","$17,894,692,681 ","$62,923 ","$59,527 "
8/26/2024,"$1,269,291,077,270 ","$17,875,230,147 ","$64,266 ","$62,923 "
8/25/2024,"$1,264,961,887,999 ","$22,029,153,446 ","$64,157 ","$64,266 "
8/24/2024,"$1,261,916,434,075 ","$45,038,665,759 ","$64,050 ","$64,157 "
8/23/2024,"$1,192,308,382,714 ","$28,170,302,506 ","$60,388 ","$64,050 "
8/22/2024,"$1,207,099,049,403 ","$32,960,965,011 ","$61,145 ","$60,388 "
8/21/2024,"$1,166,088,863,323 ","$31,470,716,091 ","$59,060 ","$61,145 "
8/20/2024,"$1,176,063,402,362 ","$24,031,330,179 ","$59,575 ","$59,060 "
8/19/2024,"$1,156,217,205,294 ","$17,656,027,564 ","$58,438 ","$59,575 "
8/18/2024,"$1,173,270,497,431 ","$12,467,437,134 ","$59,431 ","$58,438 "
8/17/2024,"$1,162,716,063,850 ","$30,368,238,897 ","$58,882 ","$59,431 "
8/16/2024,"$1,137,141,836,826 ","$33,490,251,842 ","$57,624 ","$58,882 "
8/15/2024,"$1,159,479,277,228 ","$28,079,911,398 ","$58,739 ","$57,624 "
8/14/2024,"$1,195,798,013,191 ","$31,955,576,195 ","$60,601 ","$58,739 "
8/13/2024,"$1,171,441,797,234 ","$39,403,296,386 ","$59,350 ","$60,601 "
8/12/2024,"$1,159,146,815,398 ","$21,715,994,493 ","$58,804 ","$59,350 "
8/11/2024,"$1,201,818,989,571 ","$13,418,919,090 ","$60,888 ","$58,804 "
8/10/2024,"$1,198,300,504,959 ","$33,804,208,928 ","$60,913 ","$60,888 "
8/9/2024,"$1,218,342,891,279 ","$49,201,548,320 ","$61,859 ","$60,913 "
8/8/2024,"$1,088,566,703,585 ","$41,605,918,903 ","$55,100 ","$61,859 "
8/7/2024,"$1,104,019,419,317 ","$52,620,100,833 ","$55,960 ","$55,100 "
8/6/2024,"$1,064,889,039,014 ","$120,245,972,389 ","$53,956 ","$55,960 "
8/5/2024,"$1,147,854,905,922 ","$33,664,501,541 ","$58,006 ","$53,956 "
8/4/2024,"$1,197,962,170,719 ","$32,885,545,024 ","$60,739 ","$58,006 "
8/3/2024,"$1,211,854,070,245 ","$39,004,321,616 ","$61,407 ","$60,739 "
8/2/2024,"$1,289,157,073,528 ","$38,911,302,448 ","$65,358 ","$61,407 "
8/1/2024,"$1,275,401,473,742 ","$31,403,681,581 ","$64,680 ","$65,358 "
7/31/2024,"$1,306,758,338,818 ","$28,892,376,511 ","$66,219 ","$64,680 "
7/30/2024,"$1,317,581,413,497 ","$42,529,043,667 ","$66,770 ","$66,219 "
